"Select a billing address from your address book or enter a new address.","Select a billing address from your address book or enter a new address."
"select all","select all"
"Select a shipping address from your address book or enter a new address.","Select a shipping address from your address book or enter a new address."
"Select State/Province...","Select State/Province..."
"Sender:","Sender:"
"Sender Email","Sender Email"
"Sender Name","Sender Name"
"Send Gift Receipt","Send Gift Receipt"
"Send Invitations","Send Invitations"
"Service information bulletin","Boletín de información de servicio"
"Set Ascending Direction","Configurar sentido ascendente"
"Set Descending Direction","Configurar sentido ascendente"
"Share","Share"
"Share Gift Registry","Share Gift Registry"
"Share Wishlist","Share Wishlist"
"Ship From","Ship From"
"Shipped","Shipped"
"Shipping address","Shipping address"
"Shipping and Tracking Information","Shipping and Tracking Information"
"Ship to","Ship to"
"Ship to different address","Ship to different address"
"Ship to recipient\'s address","Ship to recipient\'s address"
"Ship to this address","Ship to this address"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Show","Mostrar"
"Show as PDF","Mostrar como PDF"
"Show Details","Show Details"
"Sign Up for Newsletter","Sign Up for Newsletter"
"SKU","SKU"
"Sort by","ordenar por"
"State/Province","State/Province"
"Status","Status"
"Stock-Service was last updated on %s at %s","La disponibilidad del stock fue actualizada el %s o a las %s"
"Store Credit","Store Credit"
"Street Address","Street Address"
"Sub-items:","Sub-items:"
"Submit","Submit"
"Submit Comment","Submit Comment"
"Subscribe for balance updates","Subscribe for balance updates"
"Subscribe for points expiration notifications","Subscribe for points expiration notifications"
"Subscribe to RSS Feed","Subscribe to RSS Feed"
"Technical data sheet (TDS)","Hoja de datos técnicos"
"Telephone","Telephone"
"* The color shown may differ from the image.","* The color shown may differ from the image."
"the request key is invalid","the request key is invalid"
"There are no created gift registries yet.","There are no created gift registries yet."
"There are no products matching the selection.","There are no products matching the selection."
"There are no sent invitations yet","There are no sent invitations yet"
"There is no balance history yet.","There is no balance history yet."
"This wishlist is private. Only you can view this wishlist.","This wishlist is private. Only you can view this wishlist."
"This wishlist is publicly visible.","This wishlist is publicly visible."
"To","To"
"Toggle Navigation","Toggle Navigation"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched."
"Total","Total"
